database,workload,metric,value,unit,details
Neo4j AuraDB,3-Hop Traversal,p50 Latency,91.5659,ms,"10 warmup, 100 measured"
Neo4j AuraDB,3-Hop Traversal,p95 Latency,103.6372,ms,"10 warmup, 100 measured"
Neo4j AuraDB,Point Lookup,p50 Latency,90.1534,ms,Key lookup user_id
Neo4j AuraDB,Point Lookup,p95 Latency,95.6067,ms,Key lookup user_id
Neo4j AuraDB,Indexed Filtered Lookup,p50 Latency,97.6307,ms,WHERE age=25 AND gender=1 LIMIT 100
Neo4j AuraDB,Indexed Filtered Lookup,p95 Latency,140.1428,ms,WHERE age=25 AND gender=1 LIMIT 100
Neo4j AuraDB,Aggregation,p50 Latency,117.4014,ms,"GROUP BY gender, COUNT, AVG(age)"
Neo4j AuraDB,Aggregation,p95 Latency,125.1915,ms,"GROUP BY gender, COUNT, AVG(age)"
Neo4j AuraDB,Concurrent Mixed R/W,Sustained QPS,36.57,QPS,"4 workers, 80% read / 20% write, 10s"
Neo4j AuraDB,Resource Footprint,Observable Memory RSS,Not observable,Memory,Undisclosed (Free Tier)
CognoDB Cloud,Load Throughput,Total Load Time,86.46,sec,"62,679 nodes + 125,000 rels"
CognoDB Cloud,Load Throughput,Node Ingest Rate,724.96,nodes/sec,Batch ingestion
CognoDB Cloud,Load Throughput,Relationship Ingest Rate,1445.78,rels/sec,Batch ingestion
CognoDB Cloud,1-Hop Traversal,p50 Latency,248.7281,ms,"10 warmup, 100 measured"
CognoDB Cloud,1-Hop Traversal,p95 Latency,261.7658,ms,"10 warmup, 100 measured"
CognoDB Cloud,2-Hop Traversal,p50 Latency,249.8865,ms,"10 warmup, 100 measured"
CognoDB Cloud,2-Hop Traversal,p95 Latency,267.5109,ms,"10 warmup, 100 measured"
CognoDB Cloud,3-Hop Traversal,p50 Latency,267.9124,ms,"10 warmup, 100 measured"
CognoDB Cloud,3-Hop Traversal,p95 Latency,325.2361,ms,"10 warmup, 100 measured"
CognoDB Cloud,Point Lookup,p50 Latency,245.6255,ms,Key lookup user_id
CognoDB Cloud,Point Lookup,p95 Latency,317.535,ms,Key lookup user_id
CognoDB Cloud,Indexed Filtered Lookup,p50 Latency,280.6959,ms,WHERE age=25 AND gender=1 LIMIT 100
CognoDB Cloud,Indexed Filtered Lookup,p95 Latency,298.0597,ms,WHERE age=25 AND gender=1 LIMIT 100
CognoDB Cloud,Aggregation,p50 Latency,394.1541,ms,"GROUP BY gender, COUNT, AVG(age)"
CognoDB Cloud,Aggregation,p95 Latency,485.352,ms,"GROUP BY gender, COUNT, AVG(age)"
CognoDB Cloud,Concurrent Mixed R/W,Sustained QPS,13.64,QPS,"4 workers, 80% read / 20% write, 10s"
CognoDB Cloud,Resource Footprint,Observable Memory RSS,Not observable,Memory,512 MB
